K,mean_latency_ms,std_latency_ms,p95_latency_ms,model_size_mb,params,estimated_accuracy,model
1,2.4497687816619873,0.9068731019509431,4.758072830736637,4.035736083984375,1057944,0.87,Ultra-LSNT(full)
2,3.359118774533272,0.9895177737509036,5.290880240499972,4.035736083984375,1057944,0.89,Ultra-LSNT(full)
4,6.0312749445438385,2.838536774710101,11.530390381813046,4.035736083984375,1057944,0.9299999999999999,Ultra-LSNT(full)
8,11.186634786427021,5.642108332258784,27.78284288942814,4.035736083984375,1057944,1.01,Ultra-LSNT(full)
